date,oil,gas,wheat
1969-06-01,1.27,0.17,…
1969-07-01,1.27,0.17,…
1969-08-01,1.27,0.17,…
1969-09-01,1.27,0.17,…
1969-10-01,1.27,0.17,…
1969-11-01,1.27,0.17,…
1969-12-01,1.27,0.17,…
1970-01-01,1.21,0.17,…
1970-02-01,1.21,0.17,…
1970-03-01,1.21,0.17,…
1970-04-01,1.21,0.17,…
1970-05-01,1.21,0.17,…
1970-06-01,1.21,0.17,…
1970-07-01,1.21,0.17,…
1970-08-01,1.21,0.17,…
1970-09-01,1.21,0.17,…
1970-10-01,1.21,0.17,…
1970-11-01,1.21,0.17,…
1970-12-01,1.21,0.17,…
1971-01-01,1.64,0.18,…
1971-02-01,1.64,0.18,…
1971-03-01,1.64,0.18,…
1971-04-01,1.64,0.18,…
1971-05-01,1.64,0.18,…
1971-06-01,1.64,0.18,…
1971-07-01,1.74,0.18,…
1971-08-01,1.74,0.18,…
1971-09-01,1.74,0.18,…
1971-10-01,1.74,0.18,…
1971-11-01,1.74,0.18,…
1971-12-01,1.74,0.18,…
1972-01-01,1.77,0.19,…
1972-02-01,1.77,0.19,…
1972-03-01,1.77,0.19,…
1972-04-01,1.77,0.19,…
1972-05-01,1.77,0.19,…
1972-06-01,1.77,0.19,…
1972-07-01,1.87,0.19,…
1972-08-01,1.87,0.19,…
1972-09-01,1.87,0.19,…
1972-10-01,1.87,0.19,…
1972-11-01,1.87,0.19,…
1972-12-01,1.87,0.19,…
1973-01-01,2.08,0.21,…
1973-02-01,2.08,0.21,…
1973-03-01,2.08,0.21,…
1973-04-01,2.35,0.21,…
1973-05-01,2.35,0.21,…
1973-06-01,2.35,0.21,…
1973-07-01,2.7,0.21,…
1973-08-01,2.7,0.21,…
1973-09-01,2.7,0.21,…
1973-10-01,4.1,0.21,…
1973-11-01,4.1,0.21,…
1973-12-01,4.1,0.21,…
1974-01-01,13,0.29,…
1974-02-01,13,0.29,…
1974-03-01,13,0.29,…
1974-04-01,10.59999847412,0.29,…
1974-05-01,10.59999847412,0.29,…
1974-06-01,10.59999847412,0.29,…
1974-07-01,10,0.29,…
1974-08-01,10,0.29,…
1974-09-01,10,0.29,…
1974-10-01,10.29999923706,0.29,…
1974-11-01,10.29999923706,0.29,…
1974-12-01,10.29999923706,0.29,…
1975-01-01,10.42000007629,0.43,…
1975-02-01,10.42000007629,0.43,…
1975-03-01,10.42000007629,0.43,…
1975-04-01,10.42000007629,0.43,…
1975-05-01,10.42000007629,0.43,…
1975-06-01,10.42000007629,0.43,…
1975-07-01,10.43000030518,0.43,…
1975-08-01,10.43000030518,0.43,…
1975-09-01,10.43000030518,0.43,…
1975-10-01,10.46000003815,0.43,…
1975-11-01,10.46000003815,0.43,…
1975-12-01,10.46000003815,0.43,…
1976-01-01,11.51000022888,0.54,…
1976-02-01,11.51000022888,0.54,…
1976-03-01,11.51000022888,0.54,…
1976-04-01,11.51000022888,0.55,…
1976-05-01,11.51000022888,0.55,…
1976-06-01,11.51000022888,0.58,…
1976-07-01,11.60000038147,0.58,…
1976-08-01,11.60000038147,0.6,…
1976-09-01,11.60000038147,0.6,…
1976-10-01,11.89999961853,0.62,…
1976-11-01,11.89999961853,0.63,…
1976-12-01,11.89999961853,0.64,…
1977-01-01,12.5,0.67,…
1977-02-01,12.5,0.71,…
1977-03-01,12.5,0.75,…
1977-04-01,12.44999980927,0.77,…
1977-05-01,12.44999980927,0.77,…
1977-06-01,12.44999980927,0.82,…
1977-07-01,12.63000011444,0.83,…
1977-08-01,12.63000011444,0.82,…
1977-09-01,12.63000011444,0.83,…
1977-10-01,12.68000030518,0.84,…
1977-11-01,12.68000030518,0.83,…
1977-12-01,12.68000030518,0.84,…
1978-01-01,12.65999984741,0.87,…
1978-02-01,12.65999984741,0.88,…
1978-03-01,12.65999984741,0.89,…
1978-04-01,12.68000030518,0.88,…
1978-05-01,12.69999980927,0.91,…
1978-06-01,12.72999954224,0.91,…
1978-07-01,12.77000045776,0.89,…
1978-08-01,12.78999996185,0.91,…
1978-09-01,12.80000019073,0.92,…
1978-10-01,12.85000038147,0.92,…
1978-11-01,13.19999980927,0.93,…
1978-12-01,14.5,0.96,…
1979-01-01,17.4500002861,1.02,140.36
1979-02-01,20.75,1.05,144.77
1979-03-01,22.02499961853,1.1,144.04
1979-04-01,22.42500019073,1.11,142.2
1979-05-01,33.5,1.15,141.43
1979-06-01,34.67499923706,1.17,163.88
1979-07-01,33.5,1.2,168.29
1979-08-01,34,1.24,162.77
1979-09-01,35.5,1.24,164.98
1979-10-01,37.25,1.28,163.1
1979-11-01,40.75,1.29,166.8
1979-12-01,39.75,1.31,173.1
1980-01-01,39,1.37,169.71
1980-02-01,37.25,1.42,170.49
1980-03-01,37,1.46,162.4
1980-04-01,36.57500076294,1.51,155.8
1980-05-01,37.04999923706,1.56,156.2
1980-06-01,37,1.57,146.2
1980-07-01,35.375,1.64,160.5
1980-08-01,32.94999885559,1.64,165.28
1980-09-01,32.82500076294,1.69,175.6
1980-10-01,37.35000038147,1.71,187.04
1980-11-01,40.29999923706,1.76,193.3
1980-12-01,39.75,1.74,177.1
1981-01-01,39.77499961853,1.77,177.5
1981-02-01,37.89999961853,1.81,176.4
1981-03-01,37.59999847412,1.86,167.92
1981-04-01,36.36999893188,1.93,172.07
1981-05-01,34.28499984741,1.95,142.93
1981-06-01,32.70999908447,1.95,132.83
1981-07-01,33.51000022888,2.01,138.57
1981-08-01,33.984998703,2.02,140.3
1981-09-01,33.98500061035,2.08,147.07
1981-10-01,34.61000061035,2.11,149.66
1981-11-01,35.68000030518,2.15,156.8
1981-12-01,35.40999984741,2.16,152.99
1982-01-01,35.04999949137,2.23,148.42
1982-02-01,32.27333348592,2.3,153.74
1982-03-01,30.16666653951,2.35,141.83
1982-04-01,31.56666603088,2.4,148.58
1982-05-01,33.04333292643,2.45,128.26
1982-06-01,32.76666666667,2.45,125.7
1982-07-01,32.91666717529,2.47,127.52
1982-08-01,32.41666641235,2.53,123.8
1982-09-01,33.46666641235,2.56,120.45
1982-10-01,33.78333384196,2.6,112.86
1982-11-01,32.84999974569,2.62,131.59
1982-12-01,31.46666679382,2.62,127.87
1983-01-01,30.65333302816,2.66,131.15
1983-02-01,29.1133333842,2.66,133.38
1983-03-01,28.32000033061,2.58,133.01
1983-04-01,29.6933333079,2.53,137.05
1983-05-01,29.35999997457,2.53,135.7
1983-06-01,29.96666717529,2.59,132.28
1983-07-01,30.46666653951,2.52,135.33
1983-08-01,30.65333302816,2.58,145.14
1983-09-01,30.07000033061,2.67,141.83
1983-10-01,29.61666679382,2.58,141.46
1983-11-01,29.16666666667,2.6,139.64
1983-12-01,28.81333351135,2.61,141.68
1984-01-01,29.04333305359,2.67,139.95
1984-02-01,29.203332901,2.71,133.27
1984-03-01,29.53333346049,2.67,142.66
1984-04-01,29.57333246867,2.64,148.1
1984-05-01,29.46000035604,2.67,144.33
1984-06-01,29.05000050863,2.7,136.32
1984-07-01,27.98666699727,2.68,133.66
1984-08-01,28.17000007629,2.69,137.47
1984-09-01,28.35333315531,2.62,140.78
1984-10-01,27.85333315531,2.63,141.28
1984-11-01,27.65000025431,2.61,143.52
1984-12-01,26.81333351135,2.57,141.39
1985-01-01,26.63333333333,2.64,147.57
1985-02-01,27.6,2.71,140.5
1985-03-01,27.85,2.62,140.88
1985-04-01,27.8,2.64,139.14
1985-05-01,26.65,2.53,122.65
1985-06-01,26.36666666667,2.58,123.15
1985-07-01,26.38333333333,2.51,117.77
1985-08-01,27.01666666667,2.47,111.81
1985-09-01,26.98333333333,2.42,111.19
1985-10-01,27.81666666667,2.37,121.03
1985-11-01,28.6,2.36,131.65
1985-12-01,26.5,2.28,136.58
1986-01-01,24.68333333333,2.28,135.4
1986-02-01,15.91666666667,2.26,136.06
1986-03-01,12.65,2.16,139.48
1986-04-01,11.9,2.1,139.67
1986-05-01,13.71666666667,1.96,119.2
1986-06-01,11.85,1.85,99.61
1986-07-01,9.61666666667,1.8,100.09
1986-08-01,13.7,1.77,100.26
1986-09-01,14.08333333333,1.78,102.29
1986-10-01,13.95,1.73,114.79
1986-11-01,14.45,1.77,118.13
1986-12-01,15.68333333333,1.76,115.69
1987-01-01,18.06666666667,1.74,117.44
1987-02-01,17.25,1.73,115.67
1987-03-01,17.75,1.73,116.53
1987-04-01,17.9,1.69,113.1
1987-05-01,18.4,1.65,115.83
1987-06-01,18.71666666667,1.65,102.15
1987-07-01,19.61666666667,1.66,100.6
1987-08-01,18.81666666667,1.63,101.74
1987-09-01,18.28333333333,1.56,110.1
1987-10-01,18.56666666667,1.57,113.46
1987-11-01,17.75,1.64,113.72
1987-12-01,16.63333333333,1.7,124.88
1988-01-01,16.46666666667,1.96,126.17
1988-02-01,15.85,1.84,125.25
1988-03-01,14.78333333333,1.7,118.2
1988-04-01,16.46666666667,1.59,122.91
1988-05-01,16.21666666667,1.52,124.42
1988-06-01,15.33333333333,1.53,139.63
1988-07-01,14.48333333333,1.56,138.94
1988-08-01,14.55,1.62,145.87
1988-09-01,13.1,1.53,153.26
1988-10-01,12.18333333333,1.68,162.87
1988-11-01,12.53333333333,1.76,162.29
1988-12-01,14.65,1.89,168.86
1989-01-01,16.48333333333,1.78,172.56
1989-02-01,16.35,1.71,164.24
1989-03-01,18.03333333333,1.49,168.58
1989-04-01,19.2,1.53,161.35
1989-05-01,18.01666666667,1.66,162.64
1989-06-01,17.63333333333,1.7,151.9
1989-07-01,17.66666666667,1.64,152.39
1989-08-01,16.88333333333,1.58,153.37
1989-09-01,17.66666666667,1.53,157.26
1989-10-01,18.41666666667,1.6,160.48
1989-11-01,18.36666666667,1.9,163.92
1989-12-01,19.35,2.24,166.45
1990-01-01,20.35,2.39,163
1990-02-01,19.6,1.9,155.52
1990-03-01,18.21666666667,1.55,153.26
1990-04-01,16.55,1.49,150.69
1990-05-01,16.58333333333,1.47,133.49
1990-06-01,15.26666666667,1.47,130.49
1990-07-01,17.16666666667,1.41,119.55
1990-08-01,26.4,1.36,115.12
1990-09-01,32.7,1.44,108.46
1990-10-01,34.5,1.69,104.77
1990-11-01,31.08333333333,2.1,106.37
1990-12-01,26.13333333333,2.11,108.35
1991-01-01,22.58333333333,1.67,107.07
1991-02-01,18.13333333333,1.36,106.37
1991-03-01,18.06666666667,1.34,116.16
1991-04-01,18.46666666667,1.33,117.05
1991-05-01,18.81666666667,1.31,115.63
1991-06-01,17.93333333333,1.2,118.18
1991-07-01,19.05,1.19,116.23
1991-08-01,19.36666666667,1.31,127.06
1991-09-01,20.05,1.63,137.56
1991-10-01,21.46666666667,1.77,147.2
1991-11-01,20.76666666667,1.81,147.04
1991-12-01,17.75,1.92,157.81
1992-01-01,17.38333333333,1.28,167.26
1992-02-01,17.61666666667,1.21,170.12
1992-03-01,17.45,1.28,161.44
1992-04-01,18.63333333333,1.47,153.07
1992-05-01,19.5,1.59,139.72
1992-06-01,20.83333333333,1.56,140.36
1992-07-01,20.16666666667,1.75,129.93
1992-08-01,19.61666666667,1.97,118.8
1992-09-01,20.15,2.33,131.47
1992-10-01,20.08333333333,2.42,137.42
1992-11-01,18.88333333333,2.24,145.84
1992-12-01,17.93333333333,2.16,146.27
1993-01-01,17.21666666667,1.88,156.92
1993-02-01,18.16666666667,1.69,149.43
1993-03-01,18.46666666667,2.18,145.46
1993-04-01,18.43333333333,2.35,156.34
1993-05-01,18.16666666667,2.17,140.09
1993-06-01,17.46666666667,1.97,112.25
1993-07-01,16.31666666667,2.06,116.77
1993-08-01,16.48333333333,2.26,119.55
1993-09-01,15.9,2.27,115.71
1993-10-01,16.51666666667,2.02,127.87
1993-11-01,15.2,2.26,136.41
1993-12-01,13.76666666667,2.34,140.49
1994-01-01,14.13333333333,2.34,152.71
1994-02-01,13.78333333333,2.71,144.19
1994-03-01,13.61666666667,2.21,133.49
1994-04-01,15.08333333333,2.04,129.98
1994-05-01,16.28333333333,1.92,125.25
1994-06-01,17.16666666667,1.9,120.15
1994-07-01,17.88333333333,1.96,119.51
1994-08-01,17,1.66,128.15
1994-09-01,16.2,1.49,142.12
1994-10-01,16.46666666667,1.51,157.38
1994-11-01,17.08333333333,1.58,152.39
1994-12-01,15.94,1.72,157.34
1995-01-01,16.9,1.51,152.99
1995-02-01,17.41666666667,1.58,149.71
1995-03-01,17.34666666667,1.54,143.08
1995-04-01,18.64666666667,1.62,140.68
1995-05-01,18.42333333333,1.64,143.28
1995-06-01,17.36333333333,1.62,153.48
1995-07-01,16.08333333333,1.44,173.36
1995-08-01,16.46666666667,1.56,168.47
1995-09-01,16.82,1.64,185.61
1995-10-01,16.12333333333,1.77,194.04
1995-11-01,16.74333333333,2.04,198.27
1995-12-01,17.86666666667,2.71,205.33
1996-01-01,17.8,2.93,196.98
1996-02-01,17.69666666667,4.4,203.96
1996-03-01,19.4,2.95,205.51
1996-04-01,20.66,2.23,247.52
1996-05-01,19.06333333333,2.24,213.43
1996-06-01,18.51333333333,2.49,180.6
1996-07-01,19.58666666667,2.48,181.08
1996-08-01,20.44,2.03,174.99
1996-09-01,22.25666666667,1.84,169.71
1996-10-01,23.61,2.37,158.44
1996-11-01,22.39,3.03,158.21
1996-12-01,23.62333333333,3.82,158.6
1997-01-01,23.22666666667,3.31,154.01
1997-02-01,20.42,2.22,143.58
1997-03-01,19.33,1.89,153.8
1997-04-01,17.88,2.031,158.62
1997-05-01,19.36743333333,2.24,152.65
1997-06-01,17.92,2.2,131.59
1997-07-01,18.33,2.19,127.78
1997-08-01,18.7,2.47,140.91
1997-09-01,18.66174603175,2.84,143.22
1997-10-01,20.04,3.04,143.65
1997-11-01,19.08666666667,3.02,138.23
1997-12-01,17.09,2.33,135.74
1998-01-01,15,2.1,130.21
1998-02-01,14.1,2.22,127.32
1998-03-01,13.12333333333,2.23,129.85
1998-04-01,13.5,2.42,118.33
1998-05-01,14.02666666667,2.14,112.29
1998-06-01,12.479,2.17,107.18
1998-07-01,12.69966666667,2.17,96.78
1998-08-01,12.48796666667,1.85,92.85
1998-09-01,13.80333333333,2.01,96.34
1998-10-01,13.26333333333,1.89,107.64
1998-11-01,11.88,2.103,115.28
1998-12-01,10.41,1.74,104.11
1999-01-01,11.44333333333,1.86,103.18
1999-02-01,10.75333333333,1.77,94.96
1999-03-01,13.16666666667,1.79,100.24
1999-04-01,15.86666666667,2.15,99.65
1999-05-01,16.06333333333,2.25,96.59
1999-06-01,16.39333333333,2.3,92.94
1999-07-01,18.98666666667,2.31,85.3
1999-08-01,20.27,2.79,92.78
1999-09-01,22.7,2.54,102.06
1999-10-01,21.95,2.72,98.67
1999-11-01,24.16333333333,2.36,96.91
1999-12-01,25.1,2.36,92.06
2000-01-01,25.31,2.42,98.56
2000-02-01,27.22096666667,2.65,100.06
2000-03-01,27.49,2.79,97.19
2000-04-01,23.47,3.03,95.19
2000-05-01,27.18666666667,3.58,104.28
2000-06-01,29.62076666667,4.28,99.28
2000-07-01,28.17666666667,3.96,91.17
2000-08-01,29.2629,4.41,90.87
2000-09-01,32.08283333333,5.06,97.88
2000-10-01,31.40016666667,5.02,104.33
2000-11-01,32.331,5.55,103.21
2000-12-01,25.20466666667,8.95,104.95
2001-01-01,25.95727272727,8.17,110.37
2001-02-01,27.23883333333,5.63,106.74
2001-03-01,25.02257575758,5.16,103.49
2001-04-01,25.718,5.17,101.09
2001-05-01,27.54682539683,4.21,102.55
2001-06-01,26.96603174603,3.71,97.42
2001-07-01,24.80367965368,3.1,107.98
2001-08-01,25.82115942029,2.95,105.91
2001-09-01,25.20766666667,2.15,107.57
2001-10-01,20.73188405797,2.45,115.01
2001-11-01,18.68818181818,2.36,116.36
2001-12-01,18.51978947368,2.41,118.2
2002-01-01,19.15481240981,2.25,121.68
2002-02-01,19.97523684211,2.31,113.38
2002-03-01,23.64066666667,3.03,116.62
2002-04-01,25.43424242424,3.42,112.99
2002-05-01,25.67234519104,3.49,110.91
2002-06-01,24.48805750487,3.22,115.44
2002-07-01,25.75474810214,2.98,123.5
2002-08-01,26.7758008658,3.09,130.05
2002-09-01,28.28079365079,3.57,151.84
2002-10-01,27.5268115942,4.12,156.82
2002-11-01,24.54248120301,4.04,160.02
2002-12-01,27.88698412698,4.74,146.24
2003-01-01,30.75031746032,5.405869,137.5316
2003-02-01,32.88337719298,7.773684,140.7742
2003-03-01,30.35920634921,5.946857,129.3607
2003-04-01,25.55596825397,5.289318,125.8011
2003-05-01,26.06491269841,5.838044,129.154
2003-06-01,27.91714285714,5.771905,126.2834
2003-07-01,28.59158761528,5.005,128.9519
2003-08-01,29.67555555556,4.970714,144.173
2003-09-01,26.88233044733,4.612727,138.3629
2003-10-01,29.01449275362,4.635652,142.8226
2003-11-01,29.12274074074,4.5275,160.9373
2003-12-01,29.96920634921,6.126522,158.7694
2004-01-01,31.36771929825,6.09477272727,155.885019975
2004-02-01,31.33133333333,5.3795,157.4925555375
2004-03-01,33.66507246377,5.39686956522,156.50506940625
2004-04-01,33.71139249639,5.71652173913,157.244535765
2004-05-01,37.55789891395,6.33595238095,148.3066380375
2004-06-01,35.54274170274,6.27159090909,137.21464265625
2004-07-01,37.891998557,5.92863636364,131.634197775
2004-08-01,42.08406926407,5.39568181818,129.13103525625
2004-09-01,41.59682539683,5.13886363636,138.19294287
2004-10-01,46.88111111111,6.41166666667,141.44016470625
2004-11-01,42.12554545455,6.08704545455,140.820115275
2004-12-01,39.04494444444,6.58130434783,139.460599485
2005-01-01,42.97227777778,6.15452380952,142.473580425
2005-02-01,44.81821052632,6.14475,141.62388305625
2005-03-01,50.94287878788,6.96804347826,152.15553747
2005-04-01,50.64047619048,7.15261904762,132.1394232375
2005-05-01,47.82657287157,6.46931818182,133.12690936875
2005-06-01,53.8903030303,7.18613636364,131.06467089
2005-07-01,56.36580952381,7.62619047619,130.8533947875
2005-08-01,61.89052042161,9.6297826087,131.7719865375
2005-09-01,61.6876984127,12.87568181818,128.2354083
2005-10-01,58.18507936508,13.52261904762,135.2626351875
2005-11-01,55.04282539683,10.43090909091,132.34610638125
2005-12-01,56.42964285714,12.8275,137.586672315
2006-01-01,62.45703968254,8.66090909091,144.16149276563
2006-02-01,59.70492105263,7.48785714286,149.24819458125
2006-03-01,60.92927536232,6.89891304348,142.657298775
2006-04-01,67.97057504873,7.094,140.820115275
2006-05-01,68.6759486166,6.19804347826,150.924624525
2006-06-01,68.29015151515,6.19318181818,140.14035738
2006-07-01,72.4501336675,6.25,143.85146805
2006-08-01,71.81188405797,6.995,148.3617535425
2006-09-01,62.12125396825,4.86238095238,166.88515618125
2006-10-01,57.91046897547,5.9625,197.772803775
2006-11-01,58.14304545455,7.45363636364,192.94101117
2006-12-01,60.9944122807,6.5780952381,189.84994993125
2007-01-01,53.51696969697,6.58434782609,175.980133098
2007-02-01,57.5625,7.9725,176.461475175
2007-03-01,60.59984848485,7.12318181818,168.54321429
2007-04-01,65.05764035088,7.58738095238,175.2673059
2007-05-01,65.15725955204,7.61347826087,180.7788564
2007-06-01,68.1880952381,7.3041428571400004,205.0296786
2007-07-01,73.6016955267,6.22090909091,225.6061338
2007-08-01,70.1268115942,6.19543478261,253.8987597
2007-09-01,76.76243859649,6.0965,322.9768593
2007-10-01,81.96724637681,6.79804347826,325.5489162
2007-11-01,91.33826118326,7.13772727273,307.651074543
2007-12-01,89.51994152047,7.14976190476,345.309661926
2008-01-01,90.68993506494,8,343.81052019
2008-02-01,93.38759064327,8.55,388.7480286
2008-03-01,101.84283333333,9.40142857143,419.6127114
2008-04-01,108.75818181818,10.13227272727,323.42780434091
2008-05-01,122.63260894661,11.23045454545,255.100277709
2008-06-01,131.52111111111,12.67619047619,254.74386411
2008-07-01,132.82518445323,11.1487826087,245.4477156
2008-08-01,114.56682539683,8.25,255.3685065
2008-09-01,99.65676767677,7.6945,223.7689503
2008-10-01,72.69275362319,6.7335,185.9229702
2008-11-01,53.97272807018,6.6745,182.9834766
2008-12-01,41.33892496393,5.7948,179.3091096
2009-01-01,43.85521428571,5.2414,195.1088877
2009-02-01,41.8436754386,4.519,183.3509133
2009-03-01,46.6453030303,3.9502,183.71835
2009-04-01,50.2780952381,3.4998,182.6160399
2009-05-01,58.15388888889,3.81,202.4576217
2009-06-01,69.1496969697,3.8043,201.7227483
2009-07-01,64.66667325428,3.3902,175.6347426
2009-08-01,71.62968253968,3.1479,161.672148
2009-09-01,68.34611111111,2.9616,158.3652177
2009-10-01,74.08060606061,4.0232,175.6347426
2009-11-01,77.5523015873,3.6907,204.6622419
2009-12-01,74.88181818182,5.3652,206.4994254
2010-01-01,77.1210877193,5.8069,198.7832547
2010-02-01,74.76301559454,5.3357,191.8019574
2010-03-01,79.29768115942,4.2924,189.9647739
2010-04-01,84.18285714286,4.0059,187.7601537
2010-05-01,75.61831746032,4.156,190.3322106
2010-06-01,74.725,4.7948,182.6160399
2010-07-01,74.5794011544,4.6266,222.28170651429
2010-08-01,75.82626984127,4.305,261.6149304
2010-09-01,76.11624098124,3.9039,276.3123984
2010-10-01,81.71936507937,3.4315,267.4939176
2010-11-01,84.53406349206,3.72725,278.5170186
2010-12-01,90.00596179183,4.2370952381,308.646828
2011-01-01,92.6905952381,4.4934,320.4048024
2011-02-01,97.9141920078,4.0749,338.7766374
2011-03-01,108.6452173913,3.9713,303.1352775
2011-04-01,116.24316666667,4.2424,314.8932519
2011-05-01,108.06851298701,4.30895454545,308.646828
2011-06-01,105.84545454546,4.549,282.1913856
2011-07-01,107.91661111111,4.4131,266.3916075
2011-08-01,100.48642512077,4.0539,277.61839623587
2011-09-01,100.81935064935,3.9013,267.4939176
2011-10-01,99.84775396825,3.568,253.531323
2011-11-01,105.40501443001,3.24245,253.1638863
2011-12-01,104.23047619048,3.16423809524,244.7128422
2012-01-01,107.07457226399,2.6797,253.8987597
2012-02-01,112.68752380952,2.5192,263.0846772
2012-03-01,117.785,2.1661,259.7777469
2012-04-01,113.6655,1.9467,254.6336331
2012-05-01,104.0860342556,2.4374,251.3267028
2012-06-01,90.72825396825,2.4552,249.4895193
2012-07-01,96.75411255411,2.9455,322.9768593
2012-08-01,105.27363699103,2.8383,333.73237052935
2012-09-01,106.28496491228,2.8415,343.5533145
2012-10-01,103.40786561265,3.3174,340.2463842
2012-11-01,101.17441558442,3.538,346.4928081
2012-12-01,101.19366666667,3.3395,325.1814795
2013-01-01,105.10021645022,3.328,309.0142647
2013-02-01,107.63743567252,3.3292,297.9911637
2013-03-01,102.5225,3.8069,285.8657526
2013-04-01,98.85196969697,4.1669,278.1495819
2013-05-01,99.36663341489,4.0403,279.251892
2013-06-01,99.74266666667,3.8254,268.228791
2013-07-01,105.25790513834,3.6227,260.880057
2013-08-01,108.15763636364,3.4251,252.4290129
2013-09-01,108.75773015873,3.6154,259.796118735
2013-10-01,105.42713438735,3.6739,287.71963776818
2013-11-01,102.62649122807,3.6174,274.42686796579
2013-12-01,105.48165079365,4.2366,267.04840060125
2014-01-01,102.09666666667,4.7008,246.546351333
2014-02-01,104.82666666667,5.9733,258.671762433
2014-03-01,104.04,4.8783,286.916621562
2014-04-01,104.86666666667,4.6339,277.091364204
2014-05-01,105.71333333333,4.5625,277.212618315
2014-06-01,108.37333333333,4.5692,236.647606635
2014-07-01,105.22666666667,4.0099,218.308840938
2014-08-01,100.05,3.884,220.362812091
2014-09-01,95.85,3.917,202.832407134
2014-10-01,86.08,3.7719,220.142350071
2014-11-01,76.99333333333,4.1003,236.026638612
2014-12-01,60.70333333333,3.4328,261.780276915
2015-01-01,47.10666666667,2.9743,231.470423532
2015-02-01,54.79,2.8478,219.848400711
2015-03-01,52.82666666667,2.8006,218.797531749
2015-04-01,57.54333333333,2.5797,209.699799057
2015-05-01,62.50666666667,2.8383,200.771087247
2015-06-01,61.30666666667,2.7692,204.989260563
2015-07-01,54.34,2.83,207.377599113
2015-08-01,45.69,2.763,187.866710343
2015-09-01,46.28,2.6461,193.973508297
